name,smiles,multiplicity,config_file,restart,end
mol01,CCC#N,,004.ini,,
mol02,C(CO)O,,004.ini,,
mol03,C1CCOC1,,004.ini,,
mol04,CN(C)C=O,,004.ini,,
mol05,C1CCCCC1,,004.ini,,
mol06,CC(=O)CC1=CC=CC=C1,,004.ini,,
mol07,C(=O)N,,004.ini,,
mol08,C1COCO1,,004.ini,,
mol09,CC(=O)OC(=O)C,,004.ini,,
mol10,NCCO,,004.ini,,
mol11,CCC(=O)CC,,004.ini,,
mol12,CCCCCC,,004.ini,,
mol13,C(CO)CO,,004.ini,,
mol14,C=CC=O,,004.ini,,
mol15,CC1=CC=CC=C1C,,004.ini,,
mol16,CCC(CC)O,,004.ini,,
mol17,c1ccccc1,,004.ini,,
mol18,CCCCCCC,,004.ini,,
mol19,CCCCCCCC,,004.ini,,
mol20,CCCCCCCCCC,,004.ini,,
mol21,CCCCNCCCC,,004.ini,,
mol22,C1CCNCC1,,004.ini,,
mol23,OCCCCCO,,004.ini,,
mol24,CN(C)CCCN,,004.ini,,
mol25,CCn1ccnc1,,004.ini,,
mol26,CN=C=O,,004.ini,,
mol27,CN(C)CCCN(C)C,,004.ini,,
mol28,N#Cc1ccco1,,004.ini,,
mol29,O=Cc1ccoc1,,004.ini,,
mol30,CN1CCN(C)CC1,,004.ini,,
mol31,CC(=O)c1ccco1,,004.ini,,
mol32,c1cn2ccnc2cn1,,004.ini,,
mol33,CCCCn1ccnc1,,004.ini,,
mol34,CC(=O)CCC=C(C)C,,004.ini,,
mol35,c1ccc2ccccc2c1,,004.ini,,
mol36,c1ccc2nccnc2c1,,004.ini,,
mol37,CC(C)(C)c1ccncc1,,004.ini,,
mol38,OCCCCCCCO,,004.ini,,
mol39,Cc1ccc2c(c1)OCO2,,004.ini,,
mol40,OCCCCCCCCO,,004.ini,,
mol41,CCCCC(=O)CCCC,,004.ini,,
mol42,OCCCCO,,004.ini,,
mol43,OCC(O)CO,,004.ini,,
mol44,NCCNCCNCCN,,004.ini,,
mol45,CNCCCN,,004.ini,,
mol46,CC(=O)c1ccc(C)cc1,,004.ini,,
mol47,CC(C)(O)CCC(C)(C)O,,004.ini,,
mol48,OCC#CCO,,004.ini,,
mol49,Cc1cccnn1,,004.ini,,
mol50,Cc1ccc(C)n1C,,004.ini,,
mol51,CCN(CC)CCCN,,004.ini,,
mol52,OCCCCCCO,,004.ini,,
mol53,O=C1CCc2ccccc2C1,,004.ini,,
