name,smiles,multiplicity,config_file,restart,end
mol01,CCC#N,,004.json,,
mol02,C(CO)O,,004.json,,
mol03,C1CCOC1,,004.json,,
mol05,C1CCCCC1,,004.json,,
mol06,CC(=O)CC1=CC=CC=C1,,004.json,,
mol07,C(=O)N,,004.json,,
mol08,C1COCO1,,004.json,,
mol09,CC(=O)OC(=O)C,,004.json,,
mol10,NCCO,,004.json,,
mol11,CCC(=O)CC,,004.json,,
mol12,CCCCCC,,004.json,,
mol13,C(CO)CO,,004.json,,
mol14,C=CC=O,,004.json,,
mol15,CC1=CC=CC=C1C,,004.json,,
mol16,CCC(CC)O,,004.json,,
mol17,c1ccccc1,,004.json,,
mol18,CCCCCCC,,004.json,,
mol19,CCCCCCCC,,004.json,,
mol20,CCCCCCCCCC,,004.json,,
mol21,CCCCNCCCC,,004.json,,
mol22,C1CCNCC1,,004.json,,
mol23,OCCCCCO,,004.json,,
mol24,CN(C)CCCN,,004.json,,
mol25,CCn1ccnc1,,004.json,,
mol26,CN=C=O,,004.json,,
mol27,CN(C)CCCN(C)C,,004.json,,
mol28,N#Cc1ccco1,,004.json,,
mol29,O=Cc1ccoc1,,004.json,,
mol30,CN1CCN(C)CC1,,004.json,,
mol31,CC(=O)c1ccco1,,004.json,,
mol32,c1cn2ccnc2cn1,,004.json,,
mol33,CCCCn1ccnc1,,004.json,,
mol34,CC(=O)CCC=C(C)C,,004.json,,
mol35,c1ccc2ccccc2c1,,004.json,,
mol36,c1ccc2nccnc2c1,,004.json,,
mol37,CC(C)(C)c1ccncc1,,004.json,,
mol38,OCCCCCCCO,,004.json,,
mol39,Cc1ccc2c(c1)OCO2,,004.json,,
mol40,OCCCCCCCCO,,004.json,,
mol41,CCCCC(=O)CCCC,,004.json,,
mol42,OCCCCO,,004.json,,
mol43,OCC(O)CO,,004.json,,
mol44,NCCNCCNCCN,,004.json,,
mol45,CNCCCN,,004.json,,
mol46,CC(=O)c1ccc(C)cc1,,004.json,,
mol47,CC(C)(O)CCC(C)(C)O,,004.json,,
mol49,Cc1cccnn1,,004.json,,
mol50,Cc1ccc(C)n1C,,004.json,,
mol51,CCN(CC)CCCN,,004.json,,
mol52,OCCCCCCO,,004.json,,
mol53,O=C1CCc2ccccc2C1,,004.json,,
