name,charge,multiplicity,config_file,smiles,torsion_order,restart,end
mol02,,,009.ini,C(CO)O,,,
mol03,,,009.ini,C1CCOC1,,,
mol04,,,009.ini,CN(C)C=O,,,
mol05,,,009.ini,C1CCCCC1,,,
mol07,,,009.ini,C(=O)N,,,
mol08,,,009.ini,C1COCO1,,,
mol09,,,009.ini,CC(=O)OC(=O)C,,,
mol10,,,009.ini,NCCO,,,
mol11,,,009.ini,CCC(=O)CC,,,
mol12,,,009.ini,CCCCCC,,,
mol13,,,009.ini,C(CO)CO,,,
mol14,,,009.ini,C=CC=O,,,
mol15,,,009.ini,CC1=CC=CC=C1C,,,
mol16,,,009.ini,CCC(CC)O,,,
mol17,,,009.ini,c1ccccc1,,,
mol18,,,009.ini,CCCCCCC,,,
mol21,,,009.ini,CCCCNCCCC,,,
mol22,,,009.ini,C1CCNCC1,,,
mol23,,,009.ini,OCCCCCO,,,
mol24,,,009.ini,CN(C)CCCN,,,
mol25,,,009.ini,CCn1ccnc1,,,
mol26,,,009.ini,CN=C=O,,,
mol27,,,009.ini,CN(C)CCCN(C)C,,,
mol28,,,009.ini,N#Cc1ccco1,,,
mol29,,,009.ini,O=Cc1ccoc1,,,
mol30,,,009.ini,CN1CCN(C)CC1,,,
mol31,,,009.ini,CC(=O)c1ccco1,,,
mol32,,,009.ini,c1cn2ccnc2cn1,,,
mol33,,,009.ini,CCCCn1ccnc1,,,
mol34,,,009.ini,CC(=O)CCC=C(C)C,,,
mol35,,,009.ini,c1ccc2ccccc2c1,,,
mol36,,,009.ini,c1ccc2nccnc2c1,,,
mol37,,,009.ini,CC(C)(C)c1ccncc1,,,
mol39,,,009.ini,Cc1ccc2c(c1)OCO2,,,
mol41,,,009.ini,CCCCC(=O)CCCC,,,
mol42,,,009.ini,OCCCCO,,,
mol43,,,009.ini,OCC(O)CO,,,
mol44,,,009.ini,NCCNCCNCCN,,,
mol45,,,009.ini,CNCCCN,,,
mol46,,,009.ini,CC(=O)c1ccc(C)cc1,,,
mol47,,,009.ini,CC(C)(O)CCC(C)(C)O,,,
mol48,,,009.ini,OCC#CCO,,,
mol49,,,009.ini,Cc1cccnn1,,,
mol50,,,009.ini,Cc1ccc(C)n1C,,,
mol51,,,009.ini,CCN(CC)CCCN,,,
mol53,,,009.ini,O=C1CCc2ccccc2C1,,,
