name,charge,multiplicity,config_file,smiles,torsion_order,restart,end
mol02,,,008.ini,C(CO)O,,,
mol03,,,008.ini,C1CCOC1,,,
mol04,,,008.ini,CN(C)C=O,,,
mol05,,,008.ini,C1CCCCC1,,,
mol07,,,008.ini,C(=O)N,,,
mol08,,,008.ini,C1COCO1,,,
mol09,,,008.ini,CC(=O)OC(=O)C,,,
mol10,,,008.ini,NCCO,,,
mol11,,,008.ini,CCC(=O)CC,,,
mol12,,,008.ini,CCCCCC,,,
mol13,,,008.ini,C(CO)CO,,,
mol14,,,008.ini,C=CC=O,,,
mol15,,,008.ini,CC1=CC=CC=C1C,,,
mol16,,,008.ini,CCC(CC)O,,,
mol17,,,008.ini,c1ccccc1,,,
mol18,,,008.ini,CCCCCCC,,,
mol21,,,008.ini,CCCCNCCCC,,,
mol22,,,008.ini,C1CCNCC1,,,
mol23,,,008.ini,OCCCCCO,,,
mol24,,,008.ini,CN(C)CCCN,,,
mol25,,,008.ini,CCn1ccnc1,,,
mol26,,,008.ini,CN=C=O,,,
mol27,,,008.ini,CN(C)CCCN(C)C,,,
mol28,,,008.ini,N#Cc1ccco1,,,
mol29,,,008.ini,O=Cc1ccoc1,,,
mol30,,,008.ini,CN1CCN(C)CC1,,,
mol31,,,008.ini,CC(=O)c1ccco1,,,
mol32,,,008.ini,c1cn2ccnc2cn1,,,
mol33,,,008.ini,CCCCn1ccnc1,,,
mol34,,,008.ini,CC(=O)CCC=C(C)C,,,
mol35,,,008.ini,c1ccc2ccccc2c1,,,
mol36,,,008.ini,c1ccc2nccnc2c1,,,
mol37,,,008.ini,CC(C)(C)c1ccncc1,,,
mol39,,,008.ini,Cc1ccc2c(c1)OCO2,,,
mol41,,,008.ini,CCCCC(=O)CCCC,,,
mol42,,,008.ini,OCCCCO,,,
mol43,,,008.ini,OCC(O)CO,,,
mol44,,,008.ini,NCCNCCNCCN,,,
mol45,,,008.ini,CNCCCN,,,
mol46,,,008.ini,CC(=O)c1ccc(C)cc1,,,
mol47,,,008.ini,CC(C)(O)CCC(C)(C)O,,,
mol48,,,008.ini,OCC#CCO,,,
mol49,,,008.ini,Cc1cccnn1,,,
mol50,,,008.ini,Cc1ccc(C)n1C,,,
mol51,,,008.ini,CCN(CC)CCCN,,,
mol53,,,008.ini,O=C1CCc2ccccc2C1,,,
