name,charge,multiplicity,config_file,smiles,torsion_order,restart,end
mol02,,,013.ini,C(CO)O,,,
mol03,,,013.ini,C1CCOC1,,,
mol04,,,013.ini,CN(C)C=O,,,
mol05,,,013.ini,C1CCCCC1,,,
mol07,,,013.ini,C(=O)N,,,
mol08,,,013.ini,C1COCO1,,,
mol09,,,013.ini,CC(=O)OC(=O)C,,,
mol10,,,013.ini,NCCO,,,
mol11,,,013.ini,CCC(=O)CC,,,
mol12,,,013.ini,CCCCCC,,,
mol13,,,013.ini,C(CO)CO,,,
mol14,,,013.ini,C=CC=O,,,
mol15,,,013.ini,CC1=CC=CC=C1C,,,
mol16,,,013.ini,CCC(CC)O,,,
mol17,,,013.ini,c1ccccc1,,,
mol18,,,013.ini,CCCCCCC,,,
mol21,,,013.ini,CCCCNCCCC,,,
mol22,,,013.ini,C1CCNCC1,,,
mol23,,,013.ini,OCCCCCO,,,
mol24,,,013.ini,CN(C)CCCN,,,
mol25,,,013.ini,CCn1ccnc1,,,
mol26,,,013.ini,CN=C=O,,,
mol27,,,013.ini,CN(C)CCCN(C)C,,,
mol28,,,013.ini,N#Cc1ccco1,,,
mol29,,,013.ini,O=Cc1ccoc1,,,
mol30,,,013.ini,CN1CCN(C)CC1,,,
mol31,,,013.ini,CC(=O)c1ccco1,,,
mol32,,,013.ini,c1cn2ccnc2cn1,,,
mol33,,,013.ini,CCCCn1ccnc1,,,
mol34,,,013.ini,CC(=O)CCC=C(C)C,,,
mol35,,,013.ini,c1ccc2ccccc2c1,,,
mol36,,,013.ini,c1ccc2nccnc2c1,,,
mol37,,,013.ini,CC(C)(C)c1ccncc1,,,
mol39,,,013.ini,Cc1ccc2c(c1)OCO2,,,
mol41,,,013.ini,CCCCC(=O)CCCC,,,
mol42,,,013.ini,OCCCCO,,,
mol43,,,013.ini,OCC(O)CO,,,
mol44,,,013.ini,NCCNCCNCCN,,,
mol45,,,013.ini,CNCCCN,,,
mol46,,,013.ini,CC(=O)c1ccc(C)cc1,,,
mol47,,,013.ini,CC(C)(O)CCC(C)(C)O,,,
mol48,,,013.ini,OCC#CCO,,,
mol49,,,013.ini,Cc1cccnn1,,,
mol50,,,013.ini,Cc1ccc(C)n1C,,,
mol51,,,013.ini,CCN(CC)CCCN,,,
mol53,,,013.ini,O=C1CCc2ccccc2C1,,,
