name,smiles,multiplicity,config_file,restart,end
mol01,CCC#N,,014.ini,,mod_sem
mol02,C(CO)O,,014.ini,,mod_sem
mol03,C1CCOC1,,014.ini,,mod_sem
mol04,CN(C)C=O,,014.ini,,mod_sem
mol05,C1CCCCC1,,014.ini,,mod_sem
mol06,CC(=O)CC1=CC=CC=C1,,014.ini,,mod_sem
mol07,C(=O)N,,014.ini,,mod_sem
mol08,C1COCO1,,014.ini,,mod_sem
mol09,CC(=O)OC(=O)C,,014.ini,,mod_sem
mol10,NCCO,,014.ini,,mod_sem
mol11,CCC(=O)CC,,014.ini,,mod_sem
mol12,CCCCCC,,014.ini,,mod_sem
mol13,C(CO)CO,,014.ini,,mod_sem
mol14,C=CC=O,,014.ini,,mod_sem
mol15,CC1=CC=CC=C1C,,014.ini,,mod_sem
mol16,CCC(CC)O,,014.ini,,mod_sem
mol17,c1ccccc1,,014.ini,,mod_sem
mol18,CCCCCCC,,014.ini,,mod_sem
mol19,CCCCCCCC,,014.ini,,mod_sem
mol20,CCCCCCCCCC,,014.ini,,mod_sem
mol21,CCCCNCCCC,,014.ini,,mod_sem
mol22,C1CCNCC1,,014.ini,,mod_sem
mol23,OCCCCCO,,014.ini,,mod_sem
mol24,CN(C)CCCN,,014.ini,,mod_sem
mol25,CCn1ccnc1,,014.ini,,mod_sem
mol26,CN=C=O,,014.ini,,mod_sem
mol27,CN(C)CCCN(C)C,,014.ini,,mod_sem
mol28,N#Cc1ccco1,,014.ini,,mod_sem
mol29,O=Cc1ccoc1,,014.ini,,mod_sem
mol30,CN1CCN(C)CC1,,014.ini,,mod_sem
mol31,CC(=O)c1ccco1,,014.ini,,mod_sem
mol32,c1cn2ccnc2cn1,,014.ini,,mod_sem
mol33,CCCCn1ccnc1,,014.ini,,mod_sem
mol34,CC(=O)CCC=C(C)C,,014.ini,,mod_sem
mol35,c1ccc2ccccc2c1,,014.ini,,mod_sem
mol36,c1ccc2nccnc2c1,,014.ini,,mod_sem
mol37,CC(C)(C)c1ccncc1,,014.ini,,mod_sem
mol38,OCCCCCCCO,,014.ini,,mod_sem
mol39,Cc1ccc2c(c1)OCO2,,014.ini,,mod_sem
mol40,OCCCCCCCCO,,014.ini,,mod_sem
mol41,CCCCC(=O)CCCC,,014.ini,,mod_sem
mol42,OCCCCO,,014.ini,,mod_sem
mol43,OCC(O)CO,,014.ini,,mod_sem
mol44,NCCNCCNCCN,,014.ini,,mod_sem
mol45,CNCCCN,,014.ini,,mod_sem
mol46,CC(=O)c1ccc(C)cc1,,014.ini,,mod_sem
mol47,CC(C)(O)CCC(C)(C)O,,014.ini,,mod_sem
mol48,OCC#CCO,,014.ini,,mod_sem
mol49,Cc1cccnn1,,014.ini,,mod_sem
mol50,Cc1ccc(C)n1C,,014.ini,,mod_sem
mol51,CCN(CC)CCCN,,014.ini,,mod_sem
mol52,OCCCCCCO,,014.ini,,mod_sem
mol53,O=C1CCc2ccccc2C1,,014.ini,,mod_sem
